														SI7820
1000		C10 H18 O6	234.11028	233.103	10.378	[M-H]-1	Full match	No results			No results	0	No results	9.16E+06
1001		C4 H13 N8 O2 P	236.0897	235.0825	4.746	[M-H]-1	Full match	No results			No results	0	No results	7.99E+05
1002		C15 H26 O3 S2	318.1315	317.12415	4.738	[M-H]-1	Full match	No results			No match	4	No results	3.76E+06
1003		C13 H24 O2 S2	276.12095	275.11358	4.757	[M-H]-1	Full match	No results			No match	1	No results	1.58E+07
1004		C29 H49 N O6	507.35634	508.36349	3.403	[M+H]+1	Full match	No results			No results	0	No results	6.79E+06
1005		C6 H6 N O2 P	155.013	309.01869	10.685	[2M-H]-1	Full match	No results			No results	0	No results	1.55E+05
1006		C21 H39 N O3	353.29289	354.3001	3.38	[M+H]+1	Full match	No results			No results	0	No results	1.77E+06
1007		C6 H6 N4 O S	182.02528	181.018	13.311	[M-H]-1	Invalid mass	No results			No match	5	No results	2.22E+06
1008		C11 H25 N O2	203.18867	204.19594	9.385	[M+H]+1	Full match	No results			No results	0	No results	1.20E+06
1009		C8 H9 N7	203.09213	405.17695	10.175	[2M-H]-1	Full match	No results			No results	0	No results	2.65E+06
1010		C7 H16 N5 O3 P	249.1001	248.09281	3.72	[M-H]-1	Full match	No results			No results	0	No results	2.30E+05
1011		C6 H13 Cl O6	216.04001	215.03273	12.851	[M-H]-1	Full match	No results			No match	2	No results	2.77E+05
1012		C H2 N9 P	171.01714	170.00986	7.422	[M-H]-1	Full match	No results			No results	0	No results	2.28E+06
1013		C2 H7 N5 O P2 S	210.98497	211.99225	12.571	[M+H]+1	Full match	No results			No results	0	No results	4.34E+06
1014		C14 H26 N2 O8	350.16888	349.1616	12.218	[M-H]-1	Full match	No results			No results	0	No results	1.46E+05
1015		C18 H8 N4 O2	312.06346	311.05608	9.744	[M-H]-1	Full match	No results			No match	14	No results	2.08E+05
1016		C12 H23 N8 O P	326.17306	325.16578	4.287	[M-H]-1	Full match	No results			No results	0	No results	1.65E+07
1017		C19 H21 N O6	359.13665	360.14393	3.693	[M+H]+1	Full match	No results			No results	0	No results	3.00E+05
1018		C3 H5 Cl N3 P S3	244.90661	243.89934	8.899	[M-H]-1	Full match	No results			No results	0	No results	1.65E+07
1019		C8 H5 N O8	243.00159	241.99432	17.725	[M-H]-1	Full match	No results			No results	0	No results	2.11E+06
1020		C11 H26 N6 S	274.19313	275.2004	3.548	[M+H]+1	Full match	No results			No match	9	No results	5.68E+06
1021		C7 H15 N6 O4 P	278.09031	277.08303	12.66	[M-H]-1	Full match	No results			No results	0	No results	2.66E+06
1022		C23 H46 N4 O6 P2	536.28984	535.28256	3.268	[M-H]-1	Full match	No results			No results	0	No results	4.57E+06
1023		C11 H13 Cl3 N4 O3	354.00419	352.99707	12.789	[M-H]-1	Full match	No results			No results	0	No results	9.76E+04
1024		C5 H13 N8 O2 P	248.08971	249.09691	3.67	[M+H]+1	Full match	No results			No results	0	No results	2.54E+05
1025		C5 H7 N8 O P	226.04771	209.04442	13.427	[M+H-H2O]+1	Full match	No results			No match	12	No results	3.22E+05
1026		C2 H5 N8 P	172.03727	205.07078	9.829	[M+H+MeOH]+1	Full match	No results			No match	14	No results	1.33E+06
1027		C35 H68 O6 P2	646.45099	647.45826	3.694	[M+H]+1	Full match	No results			No results	0	No results	1.79E+06
1028		C6 H12 N2 P2	174.04835	173.04109	7.457	[M-H]-1	Full match	No results			No results	0	No results	2.52E+06
1029		C24 H41 N O3	391.3083	392.31553	3.443	[M+H]+1	Full match	No results			No results	0	No results	1.31E+06
1030		C15 H31 N4 O3 P	346.21427	347.22151	3.533	[M+H]+1	Full match	No results			No match	25	No results	4.65E+06
1031		C16 H8 Cl3 O2 P3	429.8808	430.8881	0.579	[M+H]+1	Full match	No results			No results	0	No results	8.63E+05
1032		C17 H28 N6 S2	380.1831	381.19061	3.572	[M+H]+1	Full match	No results			No match	5	No results	3.16E+06
1033		C27 H35 N5 O	445.2828	446.29008	3.367	[M+H]+1	Full match	No results			No results	0	No results	4.52E+05
1034		C27 H49 N O3	435.37124	436.37857	3.391	[M+H]+1	Full match	No results			No results	0	No results	4.71E+06
1035		C6 H17 N8 O P	248.12592	247.11872	3.757	[M-H]-1	Full match	No results			No results	0	No results	1.16E+06
1036		C37 H63 N5	577.50643	578.51404	3.751	[M+H]+1	Full match	No results			No results	0	No results	5.97E+05
1037		C10 H20 N8 O3 S	332.13898	333.14625	20.243	[M+H]+1	Full match	No results			No results	0	No results	1.43E+07
1038		C25 H58 N4 P2 S	508.38751	509.39486	3.468	[M+H]+1	Full match	No results			No results	0	No results	1.55E+06
1039		C21 H51 N9 O P2	507.3681	508.37534	3.541	[M+H]+1	Full match	No results			No match	1	No results	4.72E+05
1040		C10 H15 N O S2	229.05875	228.05147	13.416	[M-H]-1	Full match	No results			No match	5	No results	1.58E+06
1041		C3 H5 N3 O	99.04346	158.05732	13.476	[M-H+HAc]-1	Full match	No results			No results	0	No results	9.04E+04
1042		C28 H50 N2 S2	478.34053	479.34781	3.484	[M+H]+1	Full match	No results			No results	0	No results	4.10E+06
1043		C20 H43 N7 O3 S	461.31381	462.32104	3.465	[M+H]+1	Full match	No results			No results	0	No results	4.26E+06
1044		C22 H47 N7 O4 S	505.34069	506.34834	3.485	[M+H]+1	Full match	No results			No match	1	No results	2.33E+06
1045		C19 H26 N4 O13	518.14786	517.14058	14.003	[M-H]-1	Full match	No results			No results	1	No results	8.00E+04
1046		C9 H13 Cl N4 O S3	323.99371	322.98643	12.373	[M-H]-1	Full match	No results			No results	0	No results	5.64E+06
1047		C11 H20 N6 P2 S	330.09518	329.08791	10.676	[M-H]-1	Full match	No results			No match	2	No results	1.12E+05
1048		C9 H Cl N P3	250.90037	249.89309	8.913	[M-H]-1	Full match	No results			No results	0	No results	1.27E+07
1049		C15 H37 N7 O5 S	427.25683	428.26379	3.506	[M+H]+1	Full match	No results			No results	0	No results	4.53E+06
1050		C14 H21 N O5 P2	345.0909	344.08362	11.156	[M-H]-1	Full match	No results			No match	2	No results	1.48E+05
1051		C25 H59 N9 O P2	563.42935	564.43679	3.486	[M+H]+1	Full match	No results			No results	0	No results	3.81E+05
1052		C11 H21 N5 O3 P2	333.11143	665.2157	14.012	[2M-H]-1	Full match	No results			No results	0	No results	1.00E+05
1053		C5 H2 Cl N2 O2 P3	249.9007	248.89342	8.87	[M-H]-1	Full match	No results			No results	0	No results	1.30E+07
1054		C13 H36 N9 O P	365.27703	366.28431	3.445	[M+H]+1	Full match	No results			No results	0	No results	7.69E+06
1055		C19 H44 N5 P S2	437.27675	438.28335	3.503	[M+H]+1	Full match	No results			No results	0	No results	4.00E+06
1056		C21 H48 N5 O2 P	433.35546	434.36261	3.397	[M+H]+1	Full match	No results			No results	0	No results	2.86E+06
1057		C9 H18 O4	190.12087	189.1137	7.469	[M-H]-1	Full match	No results			No results	0	No results	1.57E+06
1058		C39 H54 N7 O6 P3 S3	905.25045	906.25773	3.768	[M+H]+1	Full match	No results			No results	0	No results	7.17E+05
1059		C4 H6 Br N3 O S	222.94235	223.94963	0.615	[M+H]+1	Full match	No results			No results	0	No results	5.63E+06
1060		C19 H26 N4 O6	406.18419	405.17692	10.169	[M-H]-1	Full match	No results			No results	0	No results	2.65E+06
1061		C25 H32 N4 P2	450.21025	449.20273	9.845	[M-H]-1	Full match	No results			No results	0	No results	2.40E+06
1062		C19 H41 N7 O2 S	431.30358	432.3105	3.437	[M+H]+1	Full match	No results			No results	0	No results	2.64E+06
1063		C18 H44 N5 O3 P	409.31882	410.32592	3.457	[M+H]+1	Full match	No results			No results	0	No results	2.43E+06
1064		C27 H24 N4 O S	452.16566	453.17294	10.205	[M+H]+1	Full match	No results			No results	0	No results	1.75E+07
1065		C19 H43 N7 O8 S	529.28883	530.2961	3.448	[M+H]+1	Full match	No results			No results	0	No results	1.33E+06
1066		C12 H17 O2 P	224.09744	447.18747	4.773	[2M-H]-1	Full match	No results			No results	0	No results	4.05E+06
1067		C12 H27 O16 P	458.10585	457.09858	14.016	[M-H]-1	Full match	No results			No results	0	No results	8.14E+04
1068		C10 H16 O7	248.08939	247.08211	14.134	[M-H]-1	Full match	No results			No results	0	No results	1.74E+06
1069		C11 H19 Cl N6 O2	302.12667	301.1194	7.475	[M-H]-1	Full match	No results			No results	0	No results	1.40E+06
1070		C7 H19 N8 O6 P	342.11637	341.10909	14.399	[M-H]-1	Full match	No results			No match	74	No match	3.69E+05
1071		C9 H17 N8 O3 P	316.11597	315.1088	4.753	[M-H]-1	Full match	No results			No match	1	No results	1.81E+06
1072		C18 H22 N4 O4	358.16277	357.15543	4.751	[M-H]-1	Full match	No results			No results	0	No results	3.98E+06
1073		C16 H20 O4 P2	338.08495	337.07767	12.398	[M-H]-1	Full match	No results			No match	1	No results	9.60E+04
1074		C8 H12 N9 O P	281.09022	280.08295	11.352	[M-H]-1	Full match	No results			No match	2	No results	1.40E+06
1075		C24 H54 N5 O2 P S2	539.346	540.35322	3.436	[M+H]+1	Full match	No results			No results	0	No results	2.47E+06
1076		C7 H22 N5 O4 P	271.14186	270.13454	4.701	[M-H]-1	Full match	No results			No results	0	No results	3.84E+06
1077		C20 H45 N9 O S2	491.31694	492.32421	23.288	[M+H]+1	Full match	No results			No results	0	No results	5.62E+06
1078		C20 H17 N O2 S	335.09877	336.1054	0.583	[M+H]+1	Full match	No results			No results	0	No results	7.23E+05
1079		C16 H35 O10 P	418.19523	417.18795	12.212	[M-H]-1	Full match	No results			No results	0	No results	1.48E+05
1080		C13 H14 O7	282.07443	563.14167	9.293	[2M-H]-1	Full match	No results			No results	0	No results	1.87E+05
1081		C6 H17 N8 O P	248.12588	247.11855	5.931	[M-H]-1	Full match	No results			No results	0	No results	1.39E+07
1082		C H3 N2 P3 S	167.92308	166.9158	7.269	[M-H]-1	Full match	No results			No results	0	No results	4.39E+05
1083		C18 H47 N10 O P S	482.33963	483.34691	23.291	[M+H]+1	Full match	No results			No match	1	No results	4.09E+06
1084		C18 H44 N5 O2 P	393.32408	394.33136	3.403	[M+H]+1	Full match	No results			No results	0	No results	2.51E+06
1085		C9 H15 Cl N3 O4 P	295.04909	294.04181	7.14	[M-H]-1	Full match	No results			No results	0	No results	4.30E+05
1086		C4 H6 N9 O5 P S	322.99429	321.98701	12.384	[M-H]-1	Full match	No results			No results	0	No results	5.63E+06
1087		C9 H17 N4 O P3	290.06143	291.0687	12.138	[M+H]+1	Full match	No results			No results	0	No results	4.75E+05
1088		C2 H7 N9 O5	237.05797	473.10856	9.748	[2M-H]-1	Full match	No results			No match	1	No results	2.16E+05
1089		C H3 Br O3	141.92689	140.91961	11.337	[M-H]-1	Full match	No results			No results	0	No results	1.42E+06
1090		C6 H19 N8 O4 P	298.12658	297.11922	11.634	[M-H]-1	Full match	No results			No match	1	No results	7.61E+05
1091		C5 H12 N9 P	229.0952	228.08792	4.743	[M-H]-1	Full match	No results			No results	0	No results	5.47E+06
1092		C8 H19 O P S4	290.00484	288.99756	11.152	[M-H]-1	Full match	No results			No results	0	No results	1.50E+05
1093		C13 H22 O8	306.13202	611.25749	10.798	[2M-H]-1	Full match	No results			No results	0	No results	3.99E+06
1094		C19 H41 N O5	363.29809	364.30527	3.401	[M+H]+1	Full match	No results			No results	0	No results	1.92E+06
1095		C6 H8 N4 O	152.0696	194.1033	7.242	[M+ACN+H]+1	Full match	No results			No results	0	No results	5.49E+05
1096		C7 H19 N7 O5 P2	343.09082	342.08354	11.137	[M-H]-1	Full match	No results			No match	5	No results	1.08E+05
1097		C4 H5 N O2 S	131.00443	129.99715	13.662	[M-H]-1	Full match	No results			No results	0	No results	9.82E+04
